Date,NIFTY--50,nifty-next-50,nifty-100,nifty-100-equal-weight,nifty-largemidcap-250,nifty-midcap-50,NIFTY-Midcap-100,nifty-midcap-150,niftysmallcap50,niftysmallcap100,niftysmallcap250,nifty-microcap-250,nifty-500,nifty-bank,nifty-financial-services,nifty-it,nifty_healthcare,nifty-pharma,nifty-consumer-durables-index,Nifty_midcap_liquid_15,nifty200-momentum-30,nifty500--momentum--50,nifty-midcap150-momentum-50,nifty100-quality-30,nifty200-quality-30,nifty-midcap150-quality-50,nifty-smallcap250-quality50,nifty500--quality-50,nifty500-flexicap-quality-30,nifty500-multicap-momentum-quality50,nifty-smallcap250-momentum-quality-100,nifty500-multifactor--mqvlv-50,nifty-alpha-low-volatility-30,nifty-midsmallcap400-momentum-quality-100,nifty-alpha-50,nifty100-alpha30,nifty200-alpha-30,nifty-50-value-20,nifty500-value50,nifty200-value30,nifty-100-low-volatility,nifty500-low--volatility-50
1-Apr-05,"2,407","4,957","2,158","2,653","1,000","1,356","3,178","1,000","1,000","1,502","1,000","1,000","2,250","4,115","1,288","3,032","1,000","1,971","1,000",,"1,000","1,000","1,000",,"1,000","1,000","1,000","1,000",,"1,000","1,000","1,000","1,000","1,000","1,618","1,000","1,000",,"1,000","1,000","1,000","1,000"
4-Apr-05,"2,402","4,977","2,156","2,655","1,003","1,376","3,200","1,009","1,013","1,517","1,008","1,006","2,249","4,134","1,295","3,019","1,011","1,979","1,009",,"1,000","1,015","1,016",,997,"1,012","1,001",997,,"1,002","1,007",998,"1,000","1,007","1,637","1,001","1,001",,994,994,"1,002","1,002"
5-Apr-05,"2,389","4,914","2,142","2,630",997,"1,355","3,160","1,002","1,005","1,514",999,999,"2,235","4,061","1,279","3,002",999,"1,956","1,007",,989,"1,009","1,013",,990,"1,008",991,985,,988,"1,000",989,996,"1,000","1,627",984,989,,981,983,994,998
6-Apr-05,"2,409","4,931","2,158","2,646","1,005","1,358","3,189","1,012","1,028","1,530","1,017","1,021","2,252","4,075","1,282","3,028",999,"1,954","1,016",,995,"1,025","1,027",,995,"1,011","1,002",994,,998,"1,018",999,"1,001","1,018","1,649",984,994,,"1,001",990,996,"1,004"
7-Apr-05,"2,390","4,918","2,143","2,639","1,002","1,357","3,193","1,012","1,025","1,529","1,019","1,025","2,242","4,061","1,279","3,006",991,"1,937","1,022",,992,"1,019","1,021",,993,"1,008","1,008",992,,997,"1,020","1,002",998,"1,020","1,652",985,993,,"1,002",987,994,999
8-Apr-05,"2,365","4,874","2,121","2,620",995,"1,343","3,178","1,006","1,017","1,516","1,012","1,014","2,223","4,014","1,263","2,940",985,"1,928","1,010",,980,"1,010","1,013",,983,"1,003","1,001",982,,984,"1,009",996,991,"1,009","1,635",975,979,,997,981,985,990
11-Apr-05,"2,338","4,811","2,096","2,593",984,"1,321","3,147",995,"1,003","1,501","1,004","1,004","2,199","3,977","1,251","2,881",978,"1,917","1,005",,971,"1,000","1,002",,975,997,994,974,,979,"1,002",991,984,"1,002","1,612",967,970,,990,972,977,983
12-Apr-05,"2,357","4,848","2,113","2,612",991,"1,336","3,173","1,002","1,010","1,510","1,012","1,014","2,216","4,028","1,265","2,908",982,"1,926","1,016",,981,"1,005","1,009",,985,999,"1,002",983,,990,"1,009","1,000",993,"1,009","1,626",976,982,,997,980,985,991
13-Apr-05,"2,358","4,853","2,114","2,616",993,"1,338","3,181","1,004","1,007","1,512","1,010","1,015","2,218","4,032","1,271","2,916",983,"1,924","1,010",,984,"1,005","1,011",,987,"1,001","1,001",983,,991,"1,008","1,003",997,"1,008","1,628",980,986,,998,980,988,994
15-Apr-05,"2,277","4,735","2,045","2,552",966,"1,300","3,106",981,973,"1,475",984,985,"2,152","3,907","1,236","2,748",962,"1,881",991,,952,971,987,,959,980,980,948,,962,979,983,985,979,"1,581",960,955,,971,953,967,971
18-Apr-05,"2,244","4,694","2,017","2,530",957,"1,287","3,072",974,960,"1,466",979,979,"2,127","3,842","1,213","2,719",952,"1,862",999,,939,958,973,,944,973,974,934,,949,974,973,979,974,"1,559",949,945,,965,944,957,960
19-Apr-05,"2,223","4,643","1,997","2,507",952,"1,281","3,049",973,951,"1,466",974,973,"2,111","3,803","1,209","2,615",951,"1,864",996,,933,957,977,,935,968,971,923,,942,971,970,974,971,"1,555",942,937,,956,933,951,956
20-Apr-05,"2,246","4,659","2,016","2,526",958,"1,298","3,061",977,962,"1,471",981,978,"2,128","3,808","1,212","2,587",956,"1,875","1,014",,946,970,987,,952,973,974,942,,953,977,982,978,977,"1,571",946,947,,961,946,963,967
21-Apr-05,"2,268","4,746","2,039","2,557",971,"1,327","3,110",993,977,"1,494",997,999,"2,153","3,863","1,224","2,627",965,"1,888","1,042",,959,988,"1,005",,962,985,986,954,,968,993,990,991,993,"1,605",959,963,,973,956,976,975
22-Apr-05,"2,290","4,780","2,058","2,577",981,"1,335","3,138","1,005",989,"1,519","1,012","1,014","2,172","3,864","1,232","2,716",963,"1,884","1,063",,965,"1,012","1,025",,970,996,"1,004",965,,985,"1,011","1,002","1,003","1,011","1,631",965,971,,975,955,987,986
